objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Steps","161537","0","0","0","1","0","0","0","0","0","0","0","3","","19-4","","","","124480674","5.58838","6.15408","1.7619","9820","318","thing","7 Steps","2","4","30","30","30","2014","2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","KOSMOS","German","2014","German edition"
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","53765941","7.9576","8.08188","2.2273","21","177590","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","Repos Production","English","2015","English first edition R01"
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","54877862","7.62981","7.99966","2.3207","0","49730","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","Repos Production","German","2016","German edition"
"7 Wonders: Cities","111661","0","0","0","1","0","0","0","0","0","0","0","3","","62-5","","","","53696622","7.36121","7.7988","2.3467","0","31618","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","Rebel Sp. z o.o.; Repos Production","English; Japanese; Polish; Spanish","2012","English/Japanese/Polish/Spanish edition 2012"
"80 Days","348503","0","0","0","1","0","0","0","0","0","0","0","3","","34-2","","","","103633644","5.5935","6.86418","2.0769","9489","382","thing","80 Days","2","4","75","75","45","2022","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; Hungarian; Polish; Slovak","2022","East European edition"
"A fehér várkastély: Párbaj","438936","0","0","0","1","0","0","0","0","0","0","0","3","","56-2","","","","137612908","5.73","7.87615","2.8571","5632","1374","thing","The White Castle Duel","2","2","40","40","20","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"A Piramis Kincse","38196","0","0","0","1","0","0","0","0","0","0","0","3","","22-2","","","","63423232","5.48362","4.2957","1.3333","27629","127","thing","Relic Raiders: Treasure of the Lost Pyramid","2","4","20","20","20","2008","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","Basic Concepts","Hungarian","0","Hungarian edition"
"Abalone","526","0","0","0","1","0","0","0","0","0","0","0","3","","54-1","","","","53765253","6.22104","6.48556","2.154","2109","13904","thing","Abalone","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","Schmidt Spiele","French; German; Italian","2003","Schmidt edition 2003"
"Ábrándos bárányok","324242","0","0","0","1","0","0","0","0","0","0","0","3","","27-5","","","","114472755","5.94412","6.96471","1.7812","3468","2248","thing","Sheepy Time","1","4","45","45","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2021","Hungarian edition"
"Abszolút elfelejtett szavak","350267","0","0","0","1","0","0","0","0","0","0","0","3","","15-4","","","","93365742","0","6.54","0","0","41","thing","Abszolút elfelejtett szavak","3","8","20","0","20","2021","","","","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2021","Hungarian edition"
"Abszolút képtelen sztorik","363678","0","0","0","1","0","0","0","0","0","0","0","3","","13-5","","","","96453687","0","6.66667","0","0","13","thing","Abszolút képtelen sztorik","3","6","60","60","60","2022","","","","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2022","Hungarian Edition"
"Abszolút megvadult betűk","328484","0","0","0","1","0","0","0","0","0","0","0","3","","16-3","","","","93365728","5.52087","7.41429","2.5","18630","60","thing","Abszolút megvadult betűk","1","6","60","60","45","2020","1,2,3,4,5","3,4","8","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2020","Hungarian edition"
"Acélfenyves","407343","0","0","0","1","0","0","0","0","0","0","0","3","","51-4","","","","129863820","6.39289","7.89111","2.8636","1566","4085","thing","Ironwood","1","2","60","60","30","2025","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"Acélmágnás","318084","0","0","0","1","0","0","0","0","0","0","0","3","","64-2","","","","96454330","7.08291","7.39157","2.322","405","19210","thing","Furnace","2","4","60","60","30","2022","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Hobby World; Vagabund","Hungarian","2022","Hungarian edition"
"Achtung, frecher Frosch!","354871","0","0","0","1","0","0","0","0","0","0","0","3","","20-1","","","","99703910","0","7","0","0","16","thing","Achtung, frecher Frosch!","2","4","30","30","20","2013","","","","","","","","","","standalone","","Bookmark Verlag","German","2013","German edition"
"Activity","8790","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","53766643","5.60248","5.86318","1.1183","9039","2476","thing","Activity","3","16","45","45","45","1990","4,6,7,8,9,10,12","6,8","10+","Unplayable in another language","","","","","","standalone","","Piatnik","Hungarian","1990","Piatnik Hungarian edition"
"Activity Family Classic","190104","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","67647566","5.51508","5.97746","1","20369","286","thing","Activity Family Classic","3","16","0","0","0","2014","","","","","","","","","","standalone","","Piatnik","Hungarian","2014","Hungarian edition"
"Activity Junior","42644","0","0","0","1","0","0","0","0","0","0","0","3","","24-2","","","","53477853","5.50612","5.65025","1","23188","367","thing","Activity Junior","2","12","30","30","30","1997","","","","","22","","","2191","","standalone","","Piatnik","Hungarian","1997","Hungarian edition"
"Activity Pótkérdések I.","56688","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","93422269","0","5.6","2","0","44","thing","Activity Pótkérdések I.","3","16","30","30","30","1998","","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Piatnik","Hungarian","1998","Hungarian edition"
"Adel Verpflichtet","120","0","0","0","1","0","0","0","0","0","0","0","3","","58-4","","","","96766822","6.20012","6.50971","1.8638","2190","8840","thing","Hoity Toity","2","5","45","45","45","1990","4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","F.X. Schmid","German","1990","F.X. Schmid German edition with SdJ"
"AdvenTourist","363401","0","0","0","1","0","0","0","0","0","0","0","3","","28-1
*","","","","105054904","0","4.66667","1.8","0","26","thing","AdvenTourist","2","5","120","120","60","2022","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Magyar Turisztikai Szövetség","Hungarian","2022","Hungarian edition"
"AdvenTourist: Természeti kincseink","364338","0","0","0","1","0","0","0","0","0","0","0","3","","28-1
*","","","","105054925","0","5.6","2.3333","0","25","thing","AdvenTourist: Természeti kincseink","2","5","120","120","60","2022","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Magyar Turisztikai Szövetség","Hungarian","2022","Hungarian edition"
"Afrika Csillaga","5130","0","0","0","1","0","0","0","0","0","0","0","3","","32-4","","","","130746948","5.13179","4.71511","1.0864","29579","2033","thing","Afrikan tähti","2","5","45","45","45","2015","2,3,4,5","4","5+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2015","Piatnik Hungarian edition"
"Afrikaland","264607","0","0","0","1","0","0","0","0","0","0","0","3","","24-3","","","","55936181","0","6.33333","1","0","16","thing","Afrikaland","2","5","30","30","30","2018","2,3,4,5","2,3,4","4–8","No necessary in-game text","","","","","","standalone","","(Self-Published)","Hungarian","2018","Hungarian edition"
"Age of Thieves","203740","0","0","0","1","0","0","0","0","0","0","0","3","","78-1","","","","68144730","5.72546","6.67824","2.5833","5694","1450","thing","Age of Thieves","2","4","120","120","60","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Galakta","English","0","English edition"
"Agent Undercover 2","193308","0","0","0","1","0","0","0","0","0","0","0","3","","13-3","","","","55851790","6.25987","6.80538","1.2157","1952","7459","thing","Spyfall 2","3","12","15","15","15","2018","5,6,7,8,9,10,11,12","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2018","Hungarian edition"
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","84-3","","","","53477879","7.72963","7.86079","3.6352","62","89072","thing","Agricola","1","5","150","150","30","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2009","Compaya.hu Hungarian edition 2009"
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","84-3","","","","60887742","7.64889","7.95655","3.4457","84","28241","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2016","Hungarian edition"
"Ahau: Eclipse","363572","0","0","0","1","0","0","0","0","0","0","0","3","","81-1","","","","112529390","0","7.5","0","0","307","thing","Ahau: Eclipse","1","5","180","180","90","2023","","","","","","","","","","expansion","","Apeiron Games; Grand Gamers Guild","English","2023","English edition"
"Ahau: Rulers of Yucatán","321140","0","0","0","1","0","0","0","0","0","0","0","3","","81-1","","","","112529377","5.62252","6.96306","3.5882","8184","770","thing","Ahau: Rulers of Yucatán","1","5","120","120","90","2023","2,3,4,5","3","14–2","","","","","","","standalone","","Apeiron Games; Grand Gamers Guild","English","2023","English edition"
"Ahoy","20031","0","0","0","1","0","0","0","0","0","0","0","3","","21-2","","","","53477898","5.52721","5.94849","1.1111","16909","260","thing","Ahoy","2","5","30","30","30","2005","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","Cwali","Dutch; English; French; German","2005","Dutch/English/French/German edition"
"Airlines Europe","90419","0","0","0","1","0","0","0","0","0","0","0","3","","63-1","","","","53477920","6.86794","7.29747","2.4325","650","8370","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","German","2011","German first edition"
"Akropolisz","357563","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","100170911","7.0358","7.4504","1.8053","453","13681","thing","Akropolis","1","4","30","30","20","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Akrotiri","154458","0","0","0","1","0","0","0","0","0","0","0","3","","55-2","","","","53766450","6.61273","7.15757","2.641","1051","8140","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","Filosofia Éditions","French","2014","French first edition"
"Álarcosbál","139030","0","0","0","1","0","0","0","0","0","0","0","3","","12-5","","","","55944856","6.33322","6.55308","1.5301","1729","17746","thing","Mascarade","2","13","30","30","30","2018","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Repos Production","Hungarian","2018","Hungarian edition"
"Alba Longa","58886","0","0","0","1","0","0","0","0","0","0","0","3","","79-1","","","","53477935","5.59158","6.09603","3.027","9603","822","thing","Alba Longa","2","5","90","90","90","2011","3,4","4,5","10+","No necessary in-game text","","","","","","standalone","","HUCH!","German","2011","German first edition"
"Alhambra","6249","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477954","6.90758","7.0346","2.0986","603","44901","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Piatnik; Queen Games","Hungarian","2003","Piatnik Hungarian edition"
"Alhambra: A tolvajok órája – Hodina zlodějů – Hodina zlodejov","16494","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477974","5.85229","7.00068","2.3151","0","2745","thing","Alhambra: The Thief's Turn","2","6","60","60","60","2005","2,3,4,5","3,4","12+","No necessary in-game text","","","","","","expansion","","Piatnik; Queen Games","Czech; Hungarian; Slovak","0","Piatnik Hungarian/Czech/Slovak edition"
"Alhambra: A Város kapui","13287","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477989","6.01391","7.10383","2.2075","0","3488","thing","Alhambra: The City Gates","2","6","60","60","60","2005","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Queen Games","Hungarian","2005","Hungarian edition"
"Alhambra: A Vezír Kiváltsága – Vezírova přízeň – Vezírova priazeň","9687","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53478010","6.05549","6.88084","2.1742","0","4765","thing","Alhambra: The Vizier's Favor","2","6","60","60","45","2004","2,3,4,5,6","3,4","12+","No necessary in-game text","","","","","","expansion","","Piatnik; Queen Games","Czech; Hungarian; Slovak","0","Piatnik Hungarian/Czech/Slovak edition"
"Ali Baba","3889","0","0","0","1","0","0","0","0","0","0","0","3","","II. ","","","","59813772","5.47503","5.2331","1","28268","428","thing","Ali Baba","2","4","30","30","30","2002","","","5","No necessary in-game text","","","","","","standalone","","Ravensburger","French; German; Italian","2002","Multilingual edition 2002"
"Alias","3818","0","0","0","1","0","0","0","0","0","0","0","3","","10-2
*","","","","53756586","5.62151","5.94799","1.2551","8221","2228","thing","Alias","4","12","60","60","60","1990","4,5,6,7,8,9","4,6,8","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Alien Wars","175742","0","0","0","1","0","0","0","0","0","0","0","3","","04-2","","","","53918061","5.51438","5.73421","1.2","20599","404","thing","Alien Wars","2","6","10","10","10","2015","2,3,4,5,6","4,6","6+","No necessary in-game text","","","","","","standalone","","Superlude Éditions","German","0","German edition"
"Aljas 7-es","186302","0","0","0","1","0","0","0","0","0","0","0","3","","07-4
*","","","","62942969","5.7245","6.37622","1.05","5706","2147","thing","Die Fiesen 7","2","6","25","25","15","2019","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2019","Hungarian edition"
"Alkonyat","393175","0","0","0","1","0","0","0","0","0","0","0","3","","64-3
*III","","","","137227973","5.88735","6.94354","2.2143","3878","3123","thing","Nocturne","1","4","45","45","30","2025","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Alderac Entertainment Group; Flatout Games; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Állati Árverés","408938","0","0","0","1","0","0","0","0","0","0","0","3","","13-1","","","","122165275","0","8","0","0","4","thing","Állati Árverés","2","8","60","60","45","2020","","","","","","","","","","standalone","","(Self-Published)","Hungarian","2020","Hungarian edition"
"Állati fogások","393429","0","0","0","1","0","0","0","0","0","0","0","3","","70-2","","","","137586542","6.51511","7.86412","2.4769","1258","5574","thing","Critter Kitchen","1","5","60","60","60","2025","1,2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Állatok a fedélzeten","191572","0","0","0","1","0","0","0","0","0","0","0","3","","32-1","","","","124411307","6.00442","6.52272","1.5152","3087","3027","thing","Animals on Board","2","4","30","30","15","2016","3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2016","Hungarian edition"
"Allűr","233009","0","0","0","1","0","0","0","0","0","0","0","3","","15-3","","","","62943222","5.49955","5.85484","1","24986","82","thing","Quirky","3","0","0","0","0","2018","","","","","","","","","","standalone","","Reflexshop","Hungarian","2018","Hungarian edition"
"Almamérce","336360","0","0","0","1","0","0","0","0","0","0","0","3","","20-3","","","","115171474","0","6","1","0","49","thing","Animeter","2","5","20","20","15","2023","2,3,4,5","2,3","5–10","","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2023","Hungarian edition"
"Álmodj Velem!","198454","0","0","0","1","0","0","0","0","0","0","0","3","","12-4","","","","58633455","6.50366","6.93064","1.1889","1285","11047","thing","When I Dream","4","10","40","40","20","2018","4,5,6,7,8,9,10","6","8+","Unplayable in another language","","","","","","standalone","","Gém Klub Kft.","Hungarian","2018","Hungarian edition"
"Álomház","194880","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","58633514","6.50792","6.85985","1.6548","1273","11976","thing","Dream Home","2","4","30","30","30","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.; Rebel Sp. z o.o.","Hungarian","2017","Hungarian edition"
"Álomház: Napsugárút 156","232291","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","96451688","6.00713","7.25493","1.6875","0","3452","thing","Dream Home: 156 Sunny Street","1","6","30","30","30","2022","2,3,4,5,6","4,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Álomkert","312618","0","0","0","1","0","0","0","0","0","0","0","3","","29-3","","","","87477858","5.958","6.67224","1.8511","3368","3952","thing","Flourish","1","7","60","60","20","2021","1,2,3,4,5,6,7","4","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Alpino","394696","0","0","0","1","0","0","0","0","0","0","0","3","","28-2","","","","119275968","0","6.105","1.5","0","42","thing","Alpino","1","4","25","25","20","2024","1,2,3,4","2","6+","","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Polish; Slovak","2024","Multilingual edition"
"Amazonas","125446","0","0","0","1","0","0","0","0","0","0","0","3","","24-1","","","","60746745","0","4.25","2","0","13","thing","Amazonas","2","4","90","90","90","0","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","(Unknown)","Hungarian","0","Hungarian edition"
"Amazónia","368305","0","0","0","1","0","0","0","0","0","0","0","3","","78-4","","","","120759749","6.92186","8.10866","2.8145","587","5634","thing","Life of the Amazonia","1","4","150","150","60","2024","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Amritsar: Az Aranytemplom","386502","0","0","0","1","0","0","0","0","0","0","0","3","","73-4","","","","118871536","6.07554","7.4189","3.3134","2723","2224","thing","Amritsar: The Golden Temple","1","4","120","120","60","2024","1,2,3,4","3","14","No necessary in-game text","","","","","","standalone","","Vagabund","Hungarian","2024","Hungarian edition"
"Anachrony","185343","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","59557834","7.73654","8.04657","4","59","26378","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","Mindclash Games","English; German","2017","English/German-only edition"
"Anachrony: Exosuit Commander Pack","218791","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","74524286","6.84592","8.53378","3.6667","0","8354","thing","Anachrony: Exosuit Commander Pack","1","4","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","Mindclash Games","English","2017","English edition"
"Anachrony: Fractures of Time","272077","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","117662878","6.59908","8.83102","4.506","0","6800","thing","Anachrony: Fractures of Time","1","4","150","150","90","2020","1,2,3,4","3","16+","No necessary in-game text","","","","","","expansion","","Mindclash Games","English","2020","English edition"
"Anarchista palacsinta","390151","0","0","0","1","0","0","0","0","0","0","0","3","","07-3","","","","137114271","5.4946","5.53988","1","26103","1248","thing","Anarchy Pancakes","2","6","5","5","5","2024","2,3,4,5,6","3,4","5+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Andor legendái","127398","0","0","0","1","0","0","0","0","0","0","0","3","","62-5","","","","53478095","6.86276","7.08858","2.7656","659","36672","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Piatnik","Hungarian","2012","Hungarian edition"
"Androméda","358661","0","0","0","1","0","0","0","0","0","0","0","3","","82-4","","","","129937730","7.34423","8.29444","3.7111","208","9170","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Ankh'or: A Nílus-völgy kalmárjai","271530","0","0","0","1","0","0","0","0","0","0","0","3","","33-1","","","","69088929","6.00718","6.886","1.7568","3065","3382","thing","Ankh'or","2","4","30","30","30","2019","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2019","Hungarian edition"
"Anti-Monopoly","1931","0","0","0","1","0","0","0","0","0","0","0","3","","36-1","","","","53478137","5.03077","3.70313","1.6585","29592","2677","thing","Anti-Monopoly","2","6","120","120","120","1973","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Antigua","85338","0","0","0","1","0","0","0","0","0","0","0","3","","04-2","","","","53478148","5.5129","5.73724","1.7778","21033","343","thing","Antigua","2","4","35","35","35","2010","3,4","4","8+","No necessary in-game text","","","","","","standalone","","Adlung-Spiele","English; French; German; Spanish","2010","English/French/German/Spanish edition"
"Ape Town","412123","0","0","0","1","0","0","0","0","0","0","0","3","","71-1","","","","132069714","5.56354","7.15163","2.5","11590","130","thing","Ape Town","2","4","60","60","45","2025","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; French; Hungarian; Slovak","2025","Multilingual edition"
"Appenzell Sajtvára","28089","0","0","0","1","0","0","0","0","0","0","0","3","","21-3","","","","53784936","6.20565","6.85396","1.5882","2169","3768","thing","Château Roquefort","2","4","30","30","30","2007","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2007","Hungarian edition"
"Apropó popó","365470","0","0","0","1","0","0","0","0","0","0","0","3","","24-4","","","","135863839","5.48961","5.54194","1","26903","442","thing","May Contain Butts","2","6","15","15","15","2024","","","","","","","","","","standalone","","Reflexshop","Hungarian","2024","Hungarian edition"
