objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Azul","230802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57386247","7.61168","7.7214","1.7739","92","173274","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Azul Duel","431038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133027286","6.21123","7.00094","2.3607","2145","5262","thing","Azul Duel","2","2","45","45","30","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Azul: Queen's Garden","346965","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95147567","6.85499","7.44465","2.922","671","13074","thing","Azul: Queen's Garden","2","4","60","60","45","2021","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Azul: Stained Glass of Sintra","256226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","67904399","6.99783","7.28773","2.01","488","24470","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Azul: Summer Pavilion","287954","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","73080298","7.30418","7.57574","2.0728","230","31609","thing","Azul: Summer Pavilion","2","4","45","45","30","2019","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bable","404846","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129970991","5.61534","7.03904","2.1429","8460","401","thing","Bable","2","5","45","45","20","2024","2,3,4,5","3,4","10","","","","","","","standalone","","","","",""
"BANG!","3955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116541314","6.32069","6.48707","1.6332","1767","45271","thing","BANG!","4","7","40","40","20","2002","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"BANG! The Dice Game","143741","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28428511","6.72524","6.88147","1.2799","850","42113","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Bärenpark","219513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90593972","7.07462","7.27865","1.6611","411","27585","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Battle Sheep","54137","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26091907","6.25325","6.60205","1.4574","1973","7042","thing","Battle Sheep","2","4","15","15","15","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Beer & Bread","369880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112051671","6.81377","7.33342","2.3523","720","13166","thing","Beer & Bread","2","2","45","45","30","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125442827","6.79019","7.22492","2.1883","752","11501","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Between Two Cities","168435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37920046","6.71295","6.97033","1.8158","866","14418","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bison: Thunder on the Prairie","21287","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38822406","5.78035","6.27742","2.7301","4924","2251","thing","Bison: Thunder on the Prairie","2","4","90","90","90","2006","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Biss 20","318195","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95147640","5.80211","6.89959","1.1875","4658","1538","thing","Biss 20","2","8","20","20","20","2020","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Block Out!","187000","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47340010","5.51699","6.09881","1","19737","165","thing","Block Out!","2","6","20","0","20","2015","2,3,4,5,6","4","","No necessary in-game text","","","","","","standalone","","","","",""
"Bongo!","869","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","32156280","5.61006","6.06839","1.413","8714","805","thing","Bongo!","2","8","15","15","15","2000","2,3,4,5,6,7,8","3,4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"boop.","355433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116544612","6.48387","7.05136","1.3736","1328","7759","thing","boop.","2","2","30","30","20","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90594132","8.39925","8.57178","3.8668","1","78677","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Break the Code","227466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590582","6.20673","7.05961","1.7234","2160","3305","thing","Break the Code","2","4","15","15","15","2017","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Brian Boru: High King of Ireland","337765","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112055241","6.82019","7.47747","2.5524","714","6442","thing","Brian Boru: High King of Ireland","3","5","90","90","60","2021","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Ca$h 'n Guns: Second Edition","155362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30497443","6.61961","6.81067","1.2487","1038","23443","thing","Ca$h 'n Guns: Second Edition","4","8","30","30","30","2014","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cairn","275916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129771168","6.02688","7.07514","1.9667","2960","2193","thing","Cairn","2","2","25","25","25","2019","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Canvas","290236","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","91708782","6.92834","7.20676","1.7249","575","30329","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Caper: Europe","328565","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116542545","6.98772","7.63928","2.0968","502","10626","thing","Caper: Europe","2","2","35","35","25","2022","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Captain Sonar","171131","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116542980","7.29157","7.50465","2.1952","238","33011","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Carcassonne","822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90591255","7.29571","7.41332","1.8863","236","215775","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Cardline: Animals","130882","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30934663","6.00719","6.54592","1.1235","3064","4150","thing","Cardline: Animals","2","8","15","15","15","2012","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cardline: Dinosaurs","163277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128455847","5.5947","5.97075","1.1","9433","1344","thing","Cardline: Dinosaurs","2","8","15","15","15","2014","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cartographers","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590857","7.39736","7.56304","1.8863","175","59806","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cartographers: Map Pack 1 – Nebblis: Plane of Flame","319272","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590880","6.01162","7.97738","1.8333","0","4763","thing","Cartographers: Map Pack 1 – Nebblis: Plane of Flame","1","75","45","45","30","2021","1","1","","","","","","","","expansion","","","","",""
"Cartographers: Map Pack 2 – Affril: Plane of Knowledge","319273","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590898","5.95253","7.83239","2","0","4653","thing","Cartographers: Map Pack 2 – Affril: Plane of Knowledge","1","75","45","45","30","2021","","","","","","","","","","expansion","","","","",""
"Cartographers: Map Pack 3 – Undercity: Depths of Sabek","319274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590919","5.92723","7.82366","2","0","4502","thing","Cartographers: Map Pack 3 – Undercity: Depths of Sabek","1","75","45","45","30","2021","1,2,3","2","","","","","","","","expansion","","","","",""
"Cascadia","295947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","91708767","7.74358","7.9028","1.8477","56","85331","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Castles of Burgundy","271320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116544366","7.98907","8.44839","2.9217","0","28243","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Castles of Mad King Ludwig","155426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90591759","7.31441","7.50406","2.6472","224","35257","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cat in the Box: Deluxe Edition","345972","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116544492","7.1217","7.45778","2.0407","364","23037","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Cat Lady","228504","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","73080317","6.56412","6.98619","1.3728","1147","12204","thing","Cat Lady","2","4","30","30","15","2017","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"CATAN","13","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24835867","6.90588","7.09083","2.2855","603","230665","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Catch the Moon","218129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57385526","6.06338","6.75913","1","2778","3445","thing","Catch the Moon","1","6","20","20","20","2017","1,2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Caverna: Cave vs Cave – The Big Box","330021","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125375358","5.7555","7.3644","2.6429","0","1510","thing","Caverna: Cave vs Cave – The Big Box","1","2","40","40","20","2022","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Century: A New World","270970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90591228","6.73215","7.28502","2.1226","836","12143","thing","Century: A New World","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Century: Eastern Wonders","242574","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","71195000","6.71327","7.10397","2.1027","865","15540","thing","Century: Eastern Wonders","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Century: Spice Road","209685","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57385708","7.11065","7.29612","1.8018","373","34650","thing","Century: Spice Road","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Challengers!","359970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116542590","6.66432","7.07125","1.8053","954","10634","thing","Challengers!","1","8","45","45","45","2022","2,4,6,8","4,6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Challengers! Beach Cup","390340","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116542594","6.33608","7.74499","2.1429","1720","3627","thing","Challengers! Beach Cup","1","8","45","45","45","2023","2,4,5,6,7,8","4,6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Chameleon","227072","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90844565","6.16892","6.51896","1.0562","2306","14162","thing","The Chameleon","3","8","15","15","15","2017","4,5,6,7,8","6,7","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Champion of the Wild","186904","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","67904175","5.70894","6.76378","1.2143","5967","890","thing","The Champion of the Wild","3","8","35","35","20","2018","3,4,5,6,7","4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cheating Moth","105593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57386301","6.09483","6.40574","1.142","2629","15094","thing","Cheating Moth","3","5","30","30","30","2011","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Chinatown","47","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47340058","7.11099","7.44275","2.2336","372","15003","thing","Chinatown","3","5","60","60","60","1999","4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Circle the Wagons","213266","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90595294","6.46725","7.02782","1.5876","1368","9425","thing","Circle the Wagons","2","2","15","15","15","2017","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cities","402676","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133027384","6.61621","7.34737","1.9286","1045","7636","thing","Cities","2","4","45","45","45","2024","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Clank!: A Deck-Building Adventure","201808","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57386281","7.60142","7.76547","2.2312","95","60571","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Clever 4Ever","366162","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112052014","6.48832","7.63687","2.3659","1320","5465","thing","Clever 4Ever","1","4","30","30","30","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Cockroach Poker","11971","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24835913","6.60261","6.8039","1.0986","1066","27741","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Codenames","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31793635","7.4339","7.52948","1.2573","159","173031","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Codenames: Duet","224037","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57385535","7.2403","7.41481","1.3581","269","53732","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Codenames: Pictures","198773","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38294186","7.002","7.1799","1.2398","483","43902","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Coloretto","5782","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","33461902","6.82246","6.98099","1.2709","712","30805","thing","Coloretto","2","5","30","30","30","2003","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Comet","381078","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129771151","5.91752","7.17627","2.1304","3651","1388","thing","Comet","2","4","75","75","45","2023","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Compile: Main 1","406652","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133027172","6.71235","7.88815","2.3333","867","7492","thing","Compile: Main 1","2","2","30","30","20","2024","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Concept","147151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24835969","6.58677","6.74559","1.3768","1109","36367","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Concilium Urbis","416817","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129971114","5.57523","7.06435","2.4286","10651","211","thing","Concilium Urbis","1","6","60","60","40","2024","3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Concordia","124361","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","73080349","7.93013","8.08224","2.9867","26","50176","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Copenhagen","269595","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90591268","6.42541","6.93346","1.6854","1481","5410","thing","Copenhagen","2","4","40","40","20","2019","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Corinth","269725","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590535","6.22624","6.7464","1.6833","2089","6225","thing","Corinth","2","4","30","30","20","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Cosmic Factory","253379","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90591721","5.74264","6.77814","1.8889","5404","1186","thing","Cosmic Factory","2","6","30","30","20","2018","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47340069","6.83364","6.97618","1.4115","701","90104","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Crew: Mission Deep Sea","324856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128455658","7.81121","8.06435","2.0492","44","47296","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590606","7.6268","7.76588","1.9616","88","90084","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Crokinole","521","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125376742","7.7937","8.05966","1.2227","46","19647","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cross Clues","300753","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95147779","6.58885","7.20269","1.0783","1101","8795","thing","Cross Clues","2","6","10","10","5","2020","2,3,4,5,6","4","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Crossing","172971","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38294193","5.96895","6.68736","1.0488","3292","2744","thing","Crossing","3","6","15","15","15","2013","4,5,6","5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Cryptid","246784","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116544420","7.16743","7.43184","2.2584","327","22615","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cupcake Academy","300085","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90590808","5.63122","6.72844","1.2222","7874","732","thing","Cupcake Academy","2","4","10","10","10","2020","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Darwin's Journey","322289","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128456978","7.62009","8.10821","3.8998","89","15659","thing","Darwin's Journey","1","4","120","120","60","2023","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"DAVOS","430446","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129970868","5.51202","8.77333","3","21321","5","thing","DAVOS","2","8","120","120","30","2025","","","12+","","","","","","","standalone","","","","",""
"Daybreak","334986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128456992","6.99536","7.68949","2.858","490","9626","thing","Daybreak","1","4","120","120","60","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Deception: Murder in Hong Kong","156129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36885418","7.22218","7.42595","1.5861","277","36985","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","73080383","7.54541","7.7656","1.8309","115","43468","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Deep Sea Adventure","169654","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57386329","6.69549","6.87566","1.1845","904","35384","thing","Deep Sea Adventure","2","6","30","30","30","2014","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Diamant","15512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90593425","6.70676","6.84576","1.1155","882","31703","thing","Diamant","3","8","40","40","20","2005","3,4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24835848","7.07198","7.18673","1.193","415","104791","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Odyssey","92828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","24835850","7.15145","7.38523","1.1637","341","34004","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dobble Connect","381429","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112054291","5.5953","6.23201","1.1429","9406","845","thing","Dobble Connect","2","8","15","15","15","2023","2,3,4,6","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
