objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Csoda: Építészek","346703","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372549","6.75845","7.03294","1.3669","798","18608","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
"7 Empires","410103","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137372607","5.88344","7.45877","2.9722","3902","836","thing","7 Empires","2","6","150","150","90","2024","3,4,5,6","4,5","14+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders (Second Edition): Leaders","316380","0","0","0","1","0","0","0","0","0","0","0","3","","Magyar kiadás
","","","","137372589","6.271","8.17728","2.4211","0","4367","thing","7 Wonders (Second Edition): Leaders","3","7","40","40","40","2020","3,4,5,6,7","4,5","10+","","","","","","","expansion","","","","",""
"Abalone","526","0","0","0","1","0","0","0","0","0","0","0","1","","Abalone Go magyar kiadás
","","","","137374655","6.22047","6.48589","2.1517","2108","13916","thing","Abalone","2","2","30","30","30","1987","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Abomination: The Heir of Frankenstein","239472","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137374677","6.67708","7.44869","3.2467","931","7688","thing","Abomination: The Heir of Frankenstein","2","4","180","180","90","2019","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Adulthood","416780","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374684","5.65165","7.13425","2.375","7263","648","thing","Adulthood","1","4","45","45","45","2024","2,3,4","4","","","","","","","","standalone","","","","",""
"After the Empire","200511","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374694","6.36263","7.43567","3.1286","1641","3578","thing","After the Empire","2","4","120","120","60","2022","1,2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"An Age Contrived: Ad Infinitum","411570","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137374889","5.51477","6.75625","3","0","646","thing","An Age Contrived: Ad Infinitum","1","5","120","120","60","2024","","","","","","","","","","expansion","","","","",""
"Age of Galaxy","330950","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137374729","6.34262","7.58788","3.1416","1705","4543","thing","Age of Galaxy","1","4","60","60","45","2022","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Agricola 15","359999","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374740","5.94954","7.76406","3.3704","0","2115","thing","Agricola 15","1","4","120","120","30","2022","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"AI: 100% Human","416086","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374749","5.7056","7.18494","2.4286","6039","547","thing","AI: 100% Human","1","6","45","45","30","2024","1,3,4,5,6","1,3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Álarcosbál","139030","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374758","6.33314","6.55295","1.5312","1728","17755","thing","Mascarade","2","13","30","30","30","2018","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Repos Production","Hungarian","2018","Hungarian edition"
"Alibis","435423","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374767","5.76369","7.13597","1.4286","5130","930","thing","Alibis","2","6","20","20","20","2025","3,4,5,6","6","","","","","","","","standalone","","","","",""
"Alkonyat","393175","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374780","5.88615","6.93788","2.2143","3883","3130","thing","Nocturne","1","4","45","45","30","2025","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Alderac Entertainment Group; Flatout Games; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Állati fogások","393429","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374788","6.52309","7.85875","2.4769","1235","5632","thing","Critter Kitchen","1","5","60","60","60","2025","1,2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Álomház","194880","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374822","6.50757","6.85993","1.6548","1272","11980","thing","Dream Home","2","4","30","30","30","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.; Rebel Sp. z o.o.","Hungarian","2017","Hungarian edition"
"Álomház: Napsugárút 156","232291","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374825","6.00679","7.25493","1.6875","0","3451","thing","Dream Home: 156 Sunny Street","1","6","30","30","30","2022","2,3,4,5,6","4,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Amazónia","368305","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374835","6.92311","8.11059","2.8145","582","5661","thing","Life of the Amazonia","1","4","150","150","60","2024","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Amelia's Secret","341546","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137374852","5.51746","5.8284","1.6667","19593","630","thing","Amelia's Secret","1","4","60","60","20","2021","1,2","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Amerigo","38924","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137374862","5.51909","5.80529","2","19143","274","thing","Amerigo","2","4","30","30","30","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Anarchista palacsinta","390151","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374901","5.4939","5.52768","1","26260","1256","thing","Anarchy Pancakes","2","6","5","5","5","2024","2,3,4,5,6","3,4","5+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Anchors Aweigh!","245704","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","137374806","5.57473","6.44727","1.3333","10687","536","thing","Anchors Aweigh!","2","4","30","30","30","2018","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Androméda","358661","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137374910","7.34639","8.29543","3.7096","209","9188","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Animal Words","430360","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","137459460","0","7","0","0","14","thing","Animal Words","2","6","20","20","10","2024","","","","","","","","","","standalone","","","","",""
"Animotion","156461","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137374917","5.50635","5.7369","1","23129","214","thing","Animotion","3","8","20","20","20","2014","5,6,7,8","6,7,8","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Anomaly","422880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137459517","0","0","0","0","2","thing","Anomaly","1","1","60","60","30","0","","","","","","","","","","standalone","","","","",""
"Aquaretto","34194","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460195","6.2487","6.97027","2.1157","1991","3306","thing","Aquaretto","2","5","45","45","45","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE; Gém Klub Kft.","Hungarian","0","Hungarian edition"
"AquaSphere","289223","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460202","5.64602","7.59337","3.8333","0","583","thing","AquaSphere","2","4","100","100","100","2019","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Aranyfolyó","399941","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460225","6.70008","7.56111","2.4737","897","5008","thing","River of Gold","2","4","90","90","60","2025","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.; Office Dog","Hungarian","2025","Hungarian edition"
"Arcs","359871","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460230","7.57347","8.0393","3.4206","105","24255","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Ark Nova","342942","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460267","8.35311","8.54039","3.7904","3","82675","thing","Ark Nova","1","4","150","150","90","2023","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian second edition"
"Ark Nova: 1. térképcsomag","368158","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460276","6.76245","8.19375","3.125","0","12098","thing","Ark Nova: Zoo Map Pack 1","1","4","150","150","90","2022","1,2,3,4","2","12+","","","","","","","expansion","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Ark Nova: 2. Térképcsomag","426978","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460278","6.39488","8.59374","3.7143","0","7163","thing","Ark Nova: Zoo Map Pack 2","1","4","150","150","90","2024","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Feuerland Spiele; Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Ark Nova: Menedék","441696","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460280","6.15616","7.66774","2.8028","2349","2317","thing","Sanctuary","1","5","100","100","40","2025","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Ark Nova: Vízi világ kiegészítő","368966","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460273","7.97544","8.91091","3.8385","0","25134","thing","Ark Nova: Marine Worlds","1","4","150","150","90","2023","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Arnak elveszett romjai","312484","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460396","7.90714","8.07544","2.9322","30","81310","thing","Lost Ruins of Arnak","1","4","120","120","30","2021","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Arnak elveszett romjai: Az eltűnt expedíció","382350","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460401","7.24785","8.66038","3.2581","0","17169","thing","Lost Ruins of Arnak: The Missing Expedition","1","4","120","120","30","2023","1,2,3,4","1,2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Arnak: Uudet Retkikunnat","341254","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460399","7.99152","8.70035","3.1053","0","32989","thing","Lost Ruins of Arnak: Expedition Leaders","1","4","120","120","30","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Czech Games Edition; Lautapelit.fi","Finnish","2024","Finnish edition"
"Át a sivatagon","503","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460417","6.95267","7.17036","2.1645","547","19847","thing","Through the Desert","2","5","45","45","45","2005","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Fantasy Flight Games","Hungarian","2005","Hungarian edition"
"Avalon","128882","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460460","7.307","7.49653","1.736","228","52975","thing","The Resistance: Avalon","5","10","30","30","30","2021","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Matagot","French","2021","French edition 2021"
"Avel védelmezői","347137","0","0","0","1","0","0","0","0","0","0","0","1","","Angol is
","","","","137460434","6.52253","7.51269","1.9556","1238","6899","thing","Chronicles of Avel","1","4","60","60","60","2024","1,2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Azul","230802","0","0","0","1","0","0","0","0","0","0","0","1","","És Azul Mini","","","","137460539","7.61081","7.72109","1.7743","92","173653","thing","Azul","2","4","45","45","30","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2018","Hungarian edition"
"Azul: A királyi pavilon","287954","0","0","0","1","0","0","0","0","0","0","0","1","","És Azul Mini: A királyi pavilon","","","","137460543","7.30359","7.57546","2.0728","230","31654","thing","Azul: Summer Pavilion","2","4","45","45","30","2020","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2020","Hungarian edition"
"Azul: A királyné kertje","346965","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460544","6.85409","7.44193","2.9224","672","13100","thing","Azul: Queen's Garden","2","4","60","60","45","2022","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Next Move Games","Hungarian","2022","Hungarian edition"
"Azul: Kristálymozaik","294345","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460545","6.35941","7.25433","1.6538","0","11434","thing","Azul: Crystal Mosaic","2","4","45","45","30","2020","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Next Move Games","Hungarian","2020","Hungarian edition"
"Azul: Párbaj","431038","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460546","6.21678","7.0022","2.3548","2127","5337","thing","Azul Duel","2","2","45","45","30","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Azul: Sintra üvegcsodái","256226","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460541","6.9973","7.28761","2.01","491","24498","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2019","Hungarian edition"
"Azul: Színpompás pavilon","332613","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460548","5.95201","7.60309","2.2222","0","4236","thing","Azul: Summer Pavilion – Glazed Pavilion","2","4","45","45","30","2021","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Next Move Games","Hungarian","2021","Hungarian edition"
"Bal jobb dilemma","370235","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460932","5.54902","5.95563","1","13058","648","thing","Left Right Dilemma","3","6","30","30","30","2022","3,4,5,6","4,5,6","18+","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Bálnalovasok","305761","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460938","6.07878","6.99212","1.85","2706","2409","thing","Whale Riders","2","6","45","45","45","2021","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Grail Games","Hungarian","2021","Hungarian edition"
"Banán Buli Balhé","402747","0","0","0","1","1","0","0","0","0","0","0","1","","Angol is","","","","137460941","5.54383","6.4521","1","13757","318","thing","Mamie Moule Maki","2","8","30","30","15","2025","4,5,6,8","5,6,8","12","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"BANG!","3955","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137460944","6.32027","6.48671","1.6332","1768","45317","thing","BANG!","4","7","40","40","20","2008","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","DV Games; Gém Klub Kft.","Hungarian","2008","Gém Klub Hungarian edition 2008"
"BANG! Aranyláz","107794","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461105","5.83113","6.74491","2.0357","0","3731","thing","BANG! Gold Rush","4","7","40","40","20","2015","5,6,7","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","DV Games; Gém Klub Kft.","Hungarian","2015","Hungarian edition"
"BANG! Dodge City","9653","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461112","6.36313","6.86696","1.6476","0","9419","thing","BANG! Dodge City","3","8","40","40","20","2012","5,6,7,8","7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","DV Games; Gém Klub Kft.","Hungarian","2012","Hungarian edition"
"Bang! Gyilkos Kaliber","230505","0","0","0","1","0","0","0","0","0","0","0","1","","
","","","","137461127","5.63535","7.25983","1.6667","0","1341","thing","BANG! Armed & Dangerous","4","7","40","40","20","2019","5,6,7","7","10+","","","","","","","expansion","","Gém Klub Kft.","Hungarian","2019","Hungarian edition"
"Bang! Kiegészítő paklik","183275","0","0","0","1","1","0","0","0","0","0","0","1","","Angol is","","","","137460946","5.5526","6.98232","1.6","0","515","thing","BANG! Expansion Pack","4","7","40","40","20","2020","5,6,7","7","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Gém Klub Kft.","Hungarian","2020","Hungarian edition"
"BANG! The Great Train Robbery","349886","0","0","0","1","1","0","0","0","0","0","0","1","","Angol is","","","","137460967","5.53631","7.17462","2","0","520","thing","BANG! The Great Train Robbery","4","7","60","60","60","2023","","","","","","","","","","expansion","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Barik álruhában","339592","0","0","0","1","1","0","0","0","0","0","0","1","","Angol is
","","","","137461369","5.5521","6.89618","1.3333","12693","463","thing","Sheep in Disguise","2","6","45","45","20","2024","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Beaver Creek","386018","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137461384","5.64033","7.12057","1.0588","7583","557","thing","Beaver Creek","1","5","30","30","15","2023","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Berobbanó cicák","204053","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461404","6.4088","6.98043","1.1034","0","22039","thing","Exploding Kittens: Imploding Kittens","2","6","15","0","15","2022","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Exploding Kittens; Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Beyond the Horizon","421310","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461412","6.01698","7.13503","3.4318","3001","2208","thing","Beyond the Horizon","2","4","120","120","90","2024","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Binding of Isaac: Four Souls","255664","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137720896","6.06917","6.97782","2.0261","2756","7400","thing","The Binding of Isaac: Four Souls","2","4","60","60","30","2018","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Binding of Isaac: Four Souls Requiem","336844","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137720905","5.77806","8.32256","2.75","0","1736","thing","The Binding of Isaac: Four Souls Requiem","1","4","60","60","20","2023","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Birodalmi Telepesek","154203","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461417","7.10397","7.2953","2.7721","384","34079","thing","Imperial Settlers","1","4","90","90","45","2015","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2015","Hungarian edition"
"A Birodalom Alkonya","356952","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137372611","6.20238","6.9547","2.3973","2182","4011","thing","Empire's End","2","4","60","60","45","2023","2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Blanco","440390","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137461433","0","6.84444","0","0","77","thing","Blanco","2","5","30","30","10","2025","","","","","","","","","","standalone","","","","",""
"Blütenreich","432826","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461481","5.52641","6.66226","2","0","110","thing","Blütenreich","2","5","0","0","0","2025","2,3,4,5","3,4","","","","","","","","standalone","","","","",""
"Boldog kicsi dinók","325414","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461506","5.81095","6.16186","1.3387","4554","13401","thing","Happy Little Dinosaurs","2","4","60","60","30","2021","3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.; Unstable Games","Hungarian","2021","Hungarian edition"
"Bombairtók","413246","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461523","7.45081","8.03793","1.9356","151","16643","thing","Bomb Busters","2","5","30","30","30","2025","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"Boomerang: Australia","296167","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137461528","6.00261","6.85244","1.5278","3096","1624","thing","Boomerang: Australia","2","4","30","30","15","2020","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Boreal","400266","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461579","5.68517","6.53722","1.381","6460","825","thing","Boreal","2","2","20","20","15","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"The Brain","391625","0","0","0","1","1","0","0","0","0","0","0","1","","","","","","137720922","5.57877","7.07192","1.8","10414","299","thing","The Brain","1","4","15","15","15","2023","2,3,4","2","","","","","","","","standalone","","","","",""
"Braintopia Beyond","251481","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137464113","5.64107","6.38407","1.2","7559","1401","thing","Braintopia Beyond","2","6","15","15","15","2018","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Braintopia Kids","203265","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137464143","5.55232","6.25184","1","12672","639","thing","Braintopia Kids","2","6","30","30","15","2016","4","4","5–8","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137461586","8.39899","8.57146","3.8668","1","78856","thing","Brass: Birmingham","2","4","120","120","60","2020","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2020","Hungarian edition"
"Brazil: Birodalom","249277","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461593","6.67444","7.52696","2.9948","936","7072","thing","Brazil: Imperial","1","4","100","100","100","2022","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.; MeepleBR","Hungarian","2022","Hungarian edition"
"Brick Like This!","439310","0","0","0","1","0","0","0","0","0","0","0","1","","Magyar kiadás","","","","137468075","5.59874","6.64151","1.25","9230","785","thing","Brick Like This!","2","8","15","0","15","2025","4,6,8","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Bruxelles 1893: Belle Époque","345155","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461595","6.20542","7.95481","3.3611","2164","2553","thing","Bruxelles 1893: Belle Époque","2","5","120","120","45","2023","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Bűnjelek: Gyilkosság Hongkongban","156129","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137461609","7.22186","7.42585","1.5861","279","37002","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2018","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2018","Hungarian edition"
